"","tool_id","include","tool_name","acronym","rayyan_ref","web_ref","author","developer","year_published","updated","year_updated","updated_ref","promoted_tool","specify_indicators","wider_use","wider_use_evidence","wider_use_notes","adapted","adapted_ref","sustain_framing","dimensions","themes","named_framework","conceptual_framing","framing_definition","sdg","framing_indicator_link","indicator_convenience","sustainability_view","tool_orientiation","stakeholder_design","scale_measure","scale_report","localisable","country_use","system_type","visualise_framework","target_user","intended_function","comparison_type","verifiable","local_indicators","stakeholder_involved","indicator_selection","data_type","data_collection","complexity","access","paid_access","online_platform","guide_assess","guide_analysis","guide_interpret","guide_data_gov","informed_consent","visualise_result","visualise_type","assessment_results","collection_time","interval","interaction","interaction_expl","scaleable","aggregation","weighting","weighting_preference","comments","once_multi"
"1",1,"yes","ocis public goods tool","pg","363932727","https://www.organicresearchcentre.com/our-research/research-project-library/public-goods-tool/","gerrard et al., 2011","organic research centre (orc)",2011,"yes","2014","https://www.organicresearchcentre.com/manage/authincludes/article_uploads/project_outputs/of0398_pg.pdf","yes","yes","yes","https://www.organicresearchcentre.com/our-research/research-project-library/public-goods-tool/","used in a number of eu research projects and by defra in the uk ","yes","https://www.organicresearchcentre.com/our-research/research-project-library/public-goods-tool/","classical view","social; environmental; economic","social capital; soil management; biodiversity; landscape and heritage; water management; manure management and nutrients; energy and carbon; agricultural systems diversity; farm business resilience; food security; animal health and welfare","own framework","public goods","public goods as described by cooper et al. (2009). ""a public good must be non‐excludable, i.e. available to all, and non‐rival, i.e. its consumption by one individual does not diminish its availability to others. as such, benefits such as an improved environment or better water quality can be perceived to be public goods"" (gerrard et al ., 2011)","15; 13; 8; 2; 3; 6; 7","yes","no","both","consultation/feedback incorporated","agricultural advisor/extension; researchers; ngos","farm/household","farm/household","context-specific","united kingdom; europe","large/commercial","no","farmers/producers; agricultural advisors","strength/weakness","over time; between cases","no","no","yes","expert consultation; literature review; participatory","quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated)","questionnaire/survey","low","open access","no","yes","yes","yes","no","no","no","yes","radar/spider","scoring system","medium","years","no",NA,"yes","yes","no",NA,NA,"once"
"2",2,"yes","sustainable intensification assessment framework","sia",NA,"https://www.k-state.edu/siil/documents/docs_siframework/guide%20for%20si%20assessment%20framework%20-%2010.24.17.pdf","musumba et al., 2017","united states agency for international development (usaid)",2017,"no",NA,NA,"yes","yes","yes","https://scholar.google.co.uk/scholar?q=sustainable+intensification+assessment+framework&hl=en&as_sdt=0&as_vis=1&oi=scholart","from a google scholar search, there are other researchers that have used sia in their research","no",NA,"productive view","social; environmental; economic; human; productivity","equity/gender; social cohesion; collective action; biodiversity; water quality; soil quality; profitability; variability of profits; labour requirement; nutrition; food security; health; animal production; crop yields; variability of production","sustainable intensification assessment framework (siaf)","sustainable intensification","sustainable intensification (si) ""agricultural intensification may be defined as increasing output per unit input per unit time. a narrow definition of sustainable intensification is “production of more food on the same piece of land while reducing the negative environmental impacts and at the same time increasing the contributions to natural capital and flow of environmental services” (zurek et al., 2015). the definition of si has evolved to include non‐environmental dimensions such as social issues, economics, and the human condition (loos et al., 2014)."" (musumba et al. 2017)","5; 16; 15; 6; 8; 2; 3","yes","no","performance","consultation/feedback incorporated","researchers","field/plot; farm/household; landscape","field/plot; farm/household; landscape","adaptable","na","smallholder/family","no","researchers","strength/weakness; research","over time; between cases","yes","no","no","expert consultation; literature review","quantitative (measured); quantitative (enumumerator/farmer estimated); quantitative (predicted); qualitative (enumerator/ farmer estimated)","questionnaire/survey; field measurment; remote sensing; expert opinion","medium","open access","no","no","yes","no","no","no","no","yes","radar/spider","scoring system; comparison between cases","medium","years","no",NA,"yes","no",NA,NA,NA,"once"
"3",3,"yes","indicateurs de durabilité des exploitations agricoles","idea","363933186; 363933784; 363933684; 363932088; 363932137; 363932270; 363932609; 363932640; 363933485; 363933569; 363931845; 363932093; 363933728 ","https://methode-idea.org/","zahm et al., 1999","multidisciplinary scienctific committee (cs-idea)",1999,"yes","2023","https://methode-idea.org/fileadmin/user_upload/documents/9.rapports_usages_resultats/doc_n__7.4_papier_idea_viticulture_revue_ives_fr.pdf","yes","yes","yes","from the assessment of the sustainability of farms using the idea method to the characterisation of the sustainability of the ""european farm"" using the iderica method | request pdf (researchgate.net)",NA,"no","https://www.researchgate.net/publication/339899725_assessing_the_sustainability_of_horticultural_farms_in_central_senegal_an_adaptation_of_the_idea_method","classical view","agroecological scale; socio-territorial scale; economic scale","functional diversity; material & energy flow looping; sobriety in the use of resources; ensuring favourable conditions for mlt production; reduce impacts on human health & ecosystem; feeding; local development and circular economy; employment and quality at work; ethics & human development; economic & financial viability; independence; transmissibility; overall efficiency","idea","sustainable food/agriculture","framed by key concepts such as "" strong sustainability"", "" multifunctionality"", "" strong agroecology"" "" restricted and extended sustainability"". sustainability as defined by the sdgs as the ability to endure for lasting generations.","3; 7; 8; 9; 12","yes","no","both","consultation/feedback incorporated","teachers; farmers/farm managers; technicians; development actors; farmers/farm managers","farm/household; field/plot; production system; individual","farm/household; food system","widely applicable","europe; benin","both","yes","farmers/producers; researchers; agricultural advisors; teachers","multipurpose","over time","no","yes","no","expert consultation","quantitative (enumumerator/farmer estimated); quantitative (researcher estimated)","expert opinion","medium","open access","no","yes","yes","yes","yes","yes","unknown","yes","bar plot; radar/spider; tables; histogram","scoring system","medium","years","yes","yes","yes","yes","yes","economic (1); social (2); environmental (3)",NA,"once"
"4",4,"yes","sustainability assessment of food and agriculture systems","safa","363933784; 363933684; 363933186; 363932657; 363932727; 363933129; 363933602; 363933701; 363933731","https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/safa_indicators_final_19122013.pdf",NA,"food and agriculture organization (fao)",2009,"yes","2013","https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/safa_indicators_final_19122013.pdf","yes","yes","yes","https://www.sciencedirect.com/science/article/abs/pii/s0921800916309004?via%3dihub","it was used in more than 104 countries during the period from january 2016 to june 2017","yes","https://www.tandfonline.com/doi/abs/10.1080/14735903.2014.954452","classical view","social; environmental; economic; institutional/governance","decent livelihoods; fair trading practices; labour rights; equity; human health and safety; cultural diversity; atmosphere; water; land; biodiversity; materials and energy; animal welfare; investment; vulnerability; product quality and information; local economy; corporate ethics; accountability; participation; rule of law; holistic management; environmental integrity; economic resilience; social well-being","safa","sustainable food/agriculture","the tool promotes the goal of sustainably managing our planet’s natural resources — the air, water, land and biological diversity upon which all life depends —  into the future.","2; 3; 6; 8; 12; 13; 15",NA,"no","both","consultation/feedback incorporated","multistakeholders","farm/household; value chain","farm/household; value chain","widely applicable","global","smallholder/family","yes","farmers/producers; policy makers; researchers; farmer organisations; ","policy advise; research","between cases","yes","yes","yes","expert consultation; literature review; participatory","quantitative (measured); quantitative (enumumerator/farmer estimated)","questionnaire/survey; expert opinion","medium","open access","no","no","yes","yes","yes","no","unknown","yes","radar/spider","scoring system","medium","unknown","yes","no ","no","no","no","no","the safa framework is a public good and can be accessed and utilized by organizations, researchers, and stakeholders without any direct cost. the fao provides guidance materials, manuals, and resources related to safa on their official website, which can be freely downloaded. however, it's important to note that specific tools or software platforms developed by third-party organizations that implement the safa framework may have their own pricing models or subscription fees. ","once"
"5",5,"yes","tool for agroecology performance evaluation","tape","363933280","https://www.fao.org/documents/card/en/c/ca7407en/",NA,"food and agriculture organization (fao)",2019,"no",NA,NA,"yes","yes","yes","https://www.frontiersin.org/articles/10.3389/fsufs.2020.579154/full.  https://ali-sea.org/cambodia-national-workshop-on-the-application-of-faos-tool-for-agroecology-performance-evaluation-tape-5-7-february-2020-cambodia/ https://www.fao.org/agroecology/database/detail/en/c/1320371/ https://www.fao.org/agroecology/slideshow/news-article/en/c/1255457/ https://www.fao.org/agroecology/slideshow/news-article/en/c/1236087/ https://www.fao.org/3/cb9518es/cb9518es.pdf https://www.fao.org/3/cb9160en/cb9160en.pdf","tape has been widely applied  in more than 45 countries 70% of them being in africa by different research organizations","no",NA,"productive view","environmental; social & cultural; economic; health & nutrition; governance ","secure land tenure; added value; exposure to pesticides; dietary diversity; women’s empowerment; youth employment; agricultural biodiversity; soil health; productivity; income; youth employment; enabling environment; productivity; dietary diversity, synergy; resilience; recycling; culture, food, and tradition; co-creation and sharing of knowledge; circular and solidarity economy; responsible governance","own framework","agroecology","with the help of multiple partners, fao has developed a global analytical framework for the multidimensional assessment of the performance of agroecology:","1; 2; 3; 5; 8; 10; 15","yes","yes","performance","researcher/developer only","agricultural advisor/extension; researchers; development actors","farm/household","community","widely applicable","lesotho; kenya; benin; madagascar; ethiopia; china; mali; cambodia; latin america; asia; pacific; caribbean","both","no","farmers/producers; agricultural advisors; policy makers; researchers; farmer organisations; development actors; charity/ngo","multipurpose","between cases","no","yes","yes","expert consultation; literature review; participatory","quantitative (enumumerator/farmer estimated); quantitative (predicted); qualitative (enumerator/ farmer estimated)","questionnaire/survey; interviews; expert opinion; focus group/workshop","medium","open access","no","yes","yes","yes","yes","yes","yes","yes","radar/spider","scoring system; comparison between cases; comparison over time","medium","years","yes","the tool allows for the analysis of interaction among indices of step 3 through a correlation matrix with values of 0 to 1 with 1 showing perfect correlation between any 2 indices.","yes","yes","yes","no",NA,"once"
"6",13,"yes","sustainable development goals ","sdgs",NA,"https://sdgs.un.org/goals",NA,"united nations member states",2015,"no",NA,NA,"yes","yes","yes","https://www.iisd.org/system/files/publications/sustainable-development-goals-iisd-prespectives.pdf. https://link.springer.com/article/10.1007/s10668-023-03225-w. https://link.springer.com/chapter/10.1007/978-3-031-08961-9_3. https://link.springer.com/chapter/10.1007/978-3-031-08961-9_12","sustainable development goals (sdgs) aim to transform our world and hauve been adopted globally to monitor country progress in ending poverty and inequality, protecting the planet, and ensuring that all people enjoy health, justice and prosperity","no",NA,"governance oriented","economic; social; environmental; institutional; human","end poverty in all its forms; zero hunger; good health and wellbeing; quality education; gender equity; reduced inequalities; sustainable cities and communities; clean water and sanitation; affordable and clean energy; climate action; life below water; life on land; decent work and economic growth; industry, innovation, and infrastructure; partnerships for the goals; peace, justice, and strong institutions; responsible production and consumption","sdgs","sustainable development","a sustainable food system is one that contributes to food security and nutrition for all in such a way that the economic, social, cultural, and environmental bases to generate food security and nutrition for future generations are safeguarded.","1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17","no","yes","both","researcher/developer only","policy makers; government representatives","national","national","adaptable; context-specific","global","na","no","policy makers; researchers; development actors","policy advise","over time","yes","no","no","expert consultation","quantitative (measured); quantitative (enumumerator/farmer estimated)","expert opinion","medium","open access","no","no","no","no","no","no","yes","no","na","stakeholder/ self assessment; indicator ranges/benchmark; comparison between cases; comparison over time","high","years","no","several research work have evaluated the interaction among sdg targets to determine how the impact of different projects/interventions create synergies or trade-offs among sdg targets.","yes","no","no","no",NA,"once"
"7",6,"yes","response-inducing sustainability evaluation","rise","363933784; 363931825; 363932063; 363932154; 363933021; 363933186; 363933209; 363933684","https://saiplatform.org/uploads/library/riseindicatorse_rdn1_2009.pdf","haeni et al., 2000","swiss college of agriculture (sca), university of applied sciences bern now known as school of agricultural, forest and food sciences (hafl)",2000,"yes","2021",NA,"yes","yes","yes","https://www.bfh.ch/dam/jcr:0540a777-ab97-4555-b7ca-bb71904ae97c/what-is-rise.pdf","since the year 2000, rise has been used on more than 3500 farms in around 58 countries worldwide. hafl and its partner institutions offer training courses, rise analyses of single farms and farm groups, as well as rise user licenses and technical support.","no",NA,"classical view","economic; social; ecological","soil health; animal health; material use & environmental protection; water; energy; climate; biodiversity; social justice (working conditions, quality of life); economic viability","own framework","sustainable food/agriculture","sustainable agriculture in this case is one that is able to provide healthy food for a long time into the future without using too many inputs and without harming the soil.","1; 3; 4; 6; 7; 8; 12; 13; 15; 17","no","no","practice","consultation/feedback incorporated","farmers/farm managers; researchers; producer organisations; development actors","farm/household","farm/household; landscape; national","widely applicable","global","both","yes","farmers/producers; researchers; development actors; charity/ngo","strength/weakness","over time; between cases","no","yes","yes","participatory","quantitative (enumumerator/farmer estimated)","interviews","high","restricted","yes","yes","yes","no","yes","yes","yes","yes","radar/spider","scoring system","high","years","no",NA,"yes","no","no",NA,"the rise method was developed at the school of agricultural, forest and food sciences (hafl, www.hafl.bfh.ch), a department of the bern university of applied sciences. note that rise is neither a control method nor a certification protocol, but is designed to contribute to education and consultancy schemes that aim at a knowledge-based, intrinsically motivated, sustainable development of agricultural production at the farm level. registration and the analysis software is available only for approved partners. tool used by trained enumerators and the software is proprietary","once"
"8",7,"yes","sustainability monitoring and assessment routine","smart","363932708; 363933142; 363933285; 363933784","http://www.smart-farmtool.com/","baumgart et al., 2013","research institute of organic agriculture - fibl",2013,"yes","2016",NA,"yes","yes","yes","https://www.fibl.org/en/themes/smart-en/smart-links-downloads-en.  ","used in different countries but mostly involves the fibl group","no",NA,"governance oriented","social; environmental; economic: institutional/governance","decent livelihoods; fair trading practices; labour rights; equity; human health and safety; cultural diversity; atmosphere; water; land; biodiversity; materials and energy; animal welfare; investment; vulnerability; product quality and information; local economy; corporate ethics; accountability; participation; rule of law; holistic management; environmental integrity; economic resilience; social well-being","safa","sustainable food/agriculture","the tool promotes the goal of sustainably managing our planet’s natural resources — the air, water, land and biological diversity upon which all life depends —  into the future.","2; 3; 6; 8; 12; 13; 15",NA,"no","both","consultation/feedback incorporated","multistakeholders","farm/household; value chain; firm/business","farm/household; value chain; firm/business","adaptable","global","both","yes","farmers/producers; policy makers; researchers; farmer organisations; agricultural advisors","multipurpose","between cases","yes","yes","yes","expert consultation; literature review; participatory","quantitative (measured); quantitative (enumumerator/farmer estimated)","questionnaire/survey","high","open access","yes","unknown","yes","yes","yes","no","unknown","yes","radar/spider","scoring system","medium","years","yes","no ","no","no","no","no","developed by more than 60 agricultural and sustainability experts and consists of a highly efficient database as well as a scientifically sound evaluation methodology including an extensive indicator pool. (the smart-farm tool is usually used by auditors who have passed a formalized training procedure of 5–10 days, depending on the background of the trainee)","multiple"
"9",8,"yes","farm-level agroecology criteria tool","fact",NA,"https://www.agroecology-pool.org/fact/","edd colbert","biovision",2021,"no",NA,NA,"yes","yes","yes","https://cgspace.cgiar.org/bitstream/handle/10568/126016/atdt%20digital%20tool%20review_agroecology%20brief_dec2022.pdf?sequence=1&isallowed=y",NA,"unknown",NA,"governance oriented","economic; social; environmental; governance","co-creation of knowledge; social values & diets; fairness; connectivity; land & natural resource management; participation; input reduction; recycling; economic diversification; synergies; biodiversity; animal health; soil health","act","agroecology","agroecology is a dynamic concept that has gained prominence in scientific, agricultural and political discourse in recent years. it is increasingly promoted as being able to contribute to transforming food systems by applying ecological principles to agriculture and ensuring a regenerative use of natural resources and ecosystem services while also addressing the need for socially equitable food systems within which people can exercise choice over what they eat and how and where it is produced.","1; 2","yes","yes","practice","consultation/feedback incorporated","farmers/farm managers","farm/household","farm/household","adaptable","kenya","smallholder/family","yes","farmers/producers","multipurpose","between cases","no","yes","yes","researcher selected","quantitative (enumumerator/farmer estimated); qualitative (enumerator/ farmer estimated)","questionnaire/survey","medium","open access","no","no","yes","yes","yes","no","no","yes","bar plot","scoring system","low","unknown","no",NA,"no","yes","no",NA,"f-act is available as an open-source excel file but is work in progress","once"
"10",9,"yes","global farm metric","gfm",NA,"https://www.globalfarmmetric.org/",NA,"global farm metric coalition",2021,"yes","2023",NA,"yes","no","yes","https://www.globalfarmmetric.org/","the past version was trialed on 40 uk farms. new version currently being tested and trialled in the us and malawi, with discussions for similar applications underway with partners in laos, australia, canada, and europe.","no",NA,"governance oriented; productive view","social; environmental; economic; governance; human; productivity","economics; climate; community; nature; soil & water; resources; farmer & workers; crops & pasture; livestock; inputs; products; governance","own framework","sustainable food/agriculture","""a view of sustainability which requires farms to meet current needs for food, fuel, and fibre, for this production to be sustained to meet the needs of future generations, and for farming to maximise positive and minimise negative impacts on people and planet beyond the farm- gate.""","1; 2; 3; 4; 6; 8; 9; 12; 13; 15","yes","yes","performance","researcher/developer only","na","farm/household","farm/household; landscape; national","adaptable","united kingdom; malawi; united states","both","yes","farmers/producers; agricultural advisors","multipurpose","over time; between cases","unknown","no","yes","expert consultation; literature review; participatory","na","na",NA,"open access","no","no","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown",NA,"years","no",NA,"yes",NA,NA,"no","need access to old tool to complete this one ... new one not yet available","once"
