tool_id,metric_id,dimensions,themes,metric_question
5,1,economic,productivity,farm output value per hectare 
5,2,economic,productivity,farm output value per person
5,3,economic,income,income (outputs - inputs - operating expenses – depreciation + other income)
5,4,economic,added value,value added (net income +rents +taxes +interests – subsidies)
5,5,human,exposure to pesticides,quantity of pesticide applied per area 
5,6,human,exposure to pesticides,existence of risk mitigation equipment and practices for pesticides
5,7,human,exposure to pesticides,toxicity
5,8,human,dietary diversity,minimum dietary diversity for women 
5,9,social,women’s empowerment,abbreviated women’s empowerment in agriculture index (a-weai) 
5,10,social,youth employment opportunity,"access to jobs, training, education or migration "
5,11,environment,agricultural biodiversity,"relative importance of crops varieties, livestock breeds, trees and semi-natural environments on farm"
5,12,environment,soil health,"socla (nicholls et al., 2004)"
5,13,economic,resilience,self-evaluation and holistic assessment of climate resilience of farmers and pastoralists (sharp)
5,14,human,food security & nutrition,food self-sufficiency ratio: production x100/ (production +purchases -sales)
5,15,human,food security & nutrition,minimum dietary diversity for women
5,16,social,decent work,"decent work indicators for agriculture and rural areas (fao, 2015)"
5,17,environment,agricultural biodiversity,gini-simpson index
5,18,environment,agricultural biodiversity,"natural vegetation, trees and pollinators index"
5,19,environment,water,water use efficiency 
5,20,environment,water,water pollution
5,21,environment,climate change,ghg emissions
5,22,environment,climate change,carbon sequestration
5,23,social,co-creation and sharing of knowledge,participation of producers in networks and grassroots organizations
5,24,economic,circular and solidarity economy,products and services marketed locally (or with fair trade)
5,25,economic,circular and solidarity economy,"networks of producers, relationship with consumers and presence of intermediaries"
5,26,economic,circular and solidarity economy,local food system (possibility of transforming local food products)
5,27,social,responsible governance,producers’ rights are recognised and respected for both men and women
5,28,social,responsible governance,organization of producers exists and provides support to producers for market access and other services with equal access to men and women
5,29,social,responsible governance,participation of producers in governance of land and natural resources
5,30,social,time burden,number of hours per day spent working on agricultural production within the system assessed.
5,31,social,time burden,number of hours per day spent working on food preparation and other domestic works
5,32,social,time burden,number of hours per day spent working on other gainful activities (outside agricultural production)
5,33,economic,income,"total revenue derived from crops, trees and from the sale of animals"
5,34,human,youth employment,number of young people (mainly) working in the agricultural production of the system
5,35,human,youth employment,number of young people (mainly) working outside but currently living in the system
5,36,human,youth employment,number of young people who have left the community/village for lack of opportunities
5,37,human,youth employment,number of young people that would like to continue the agricultural activity of their parents
5,38,human,youth employment,number of young people that don’t want to work in agriculture and would emigrate if they had the chance
5,39,governance,secure land tenure,existence of legal recognition of access to land (mobility for pastoralists)
5,40,governance,secure land tenure,existence of formal document and presence of name on it
5,41,governance,secure land tenure,perception of security of access to land
5,42,governance,secure land tenure,"existence of the right to sell, bequeath, and inherit land, always disaggregated by gender"
8,1,social,social values and diets,consistent access to adequate food (from the farm or market) to meet its needs all year 
8,2,social,social values and diets,knowledge and skills to provide nutritionally diverse meals
8,3,social,social values and diets,extent to which local or traditional values and culture are preserved as part of your farming activities
8,4,social,social values and diets,ways of promoting social values and diets
8,5,social,fairness,women's power in decision making processes relating to farm management
8,6,social,fairness,women's ownership over farm assets and finances
8,7,social,fairness,"working conditions, wages and exposure to health risks for workers on the farm"
8,8,social,fairness,support for youth employment on farm
8,9,social,fairness,ways of increasing connectivity
8,10,social,connectivity,quantity of farm produce sold to local markets
8,11,social,connectivity,quantity of farm produce sold directly to consumers or final buyers
8,12,social,connectivity,ways of increasing connectivity between consumers and producers of food
8,13,social,co-creation of knowledge,farm records kept
8,14,social,co-creation of knowledge,involved in any platforms for knowledge sharing or co-creation
8,15,social,co-creation of knowledge,ways of co-creating knowledge
8,16,environment,biodiversity,use of green manures (leguminous cover crops)
8,17,environment,biodiversity,bodies of water (e.g. ponds) on farm
8,18,environment,biodiversity,practices for water protection (e.g. riparian buffer strips) on farm
8,19,environment,biodiversity,intercropping used
8,20,environment,biodiversity,number of species and breeds of livestock and other farm animals
8,21,environment,biodiversity,number of species of tree planted on farm 
8,22,environment,biodiversity,proportion of year trees on farm provide flowers for pollinators
8,23,environment,biodiversity,diversity of landscape on farm 
8,24,environment,biodiversity,farm diversity supports natural enemies of pests
8,25,environment,biodiversity,methods of promoting or protecting biodiversity
8,26,environment,animal health,livestock access to clean drinking water throughout the year
8,27,environment,animal health,livestock access to diverse and nutritious feed throughout the year
8,28,environment,animal health,livestock receive adequate medical attention
