key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-363932303,The evaluation of winter wheat genotypes adaptibility to ecological agriculture system on the base of nitrogen utilization efficiency.,2012,,,"47th Croatian and 7th International Symposium on Agriculture, Opatija, Croatia, 13-17 February 2012. Proceedings",9789537878047,,,102-105,"Nikolić, O and Živanović, T and Jelić, M and Kraljević-Balalić, M",https://www.cabdirect.org/cabdirect/abstract/20123323510,English,University of Zagreb Faculty of Agriculture,Zagreb,,"Author Affiliation: Faculty of Ecological Agriculture, EDUCONS University, Svilajnac 35210, Svetog Save 60, Serbia.     Author Email: lolamisa@yahoo.com | RAYYAN-INCLUSION: {""Elizabeth""=>""Excluded"", ""Levi""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No sustainability dimension",,Balkans;Europe;Mediterranean Region;Poaceae;Poales;Serbia;Southern Europe;Spermatophyta;Srbija;Triticum;Triticum aestivum;adaptability;angiosperms;commelinids;eco-agriculture;ecological agriculture;eukaryotes;genotypes;harvest index;monocotyledons;nitrogen;nitrogen fertilizers;organic culture;organic farming;plants;upper-middle income countries;use efficiency;very high Human Development Index countries;wheat;winter wheat;Genotype,,
rayyan-363932304,"Performance of Drought Indices for Ecological, Agricultural, and Hydrological Applications",2012,,,EARTH INTERACTIONS,,16,,,"Vicente-Serrano, S M and Begueria, S and Lorenzo-Lacruz, J and Camarero, J J and Lopez-Moreno, J I and Azorin-Molina, C and Revuelto, J and Moran-Tejeda, E and Sanchez-Lorenzo, A",,English,,"CSIC, Inst Pirenaico Ecol, E-50059 Zaragoza, Spain",,"Times Cited in Web of Science Core Collection: 469     Total Times Cited: 494     Cited Reference Count: 100 | RAYYAN-INCLUSION: {""Elizabeth""=>""Excluded"", ""Levi""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No sustainability dimension",10.1175/2012EI000434.1 WE  - Science Citation Index Expanded (SCI-EXPANDED),20TH-CENTURY;Agricultural droughts;CLIMATE;CROP PRODUCTION;DIFFERENT TIME-SCALES;Drought index;Drought vulnerability;Hydrological droughts;RADIAL GROWTH;SEVERITY INDEX;SOIL-MOISTURE;SPATIAL-PATTERNS;STANDARDIZED PRECIPITATION INDEX;Standardized precipitation evapotranspiration index;Standardized precipitation index;TREE MORTALITY,,
rayyan-363932305,A software tool for estimating the capacity of agricultural land in England and Wales for recycling organic materials (ALOWANCE).,2012,,,SOIL USE AND MANAGEMENT,,28,3,307-317,"Nicholson, F A and Humphries, S and Anthony, S G and Smith, S R and Chadwick, D and Chambers, B J",https://www.cabdirect.org/cabdirect/abstract/20123312526,English,Wiley-Blackwell,Oxford,,"From Duplicate 1 (A software tool for estimating the capacity of agricultural land in England and Wales for recycling organic materials (ALOWANCE). - Nicholson, F A; Humphries, S; Anthony, S G; Smith, S R; Chadwick, D; Chambers, B J)     Author Affiliation: ADAS Gleadthorpe, Meden Vale, Mansfield, Nottinghamshire NG20 9PD, UK.     Author Email: fiona.nicholson@adas.co.uk     From Duplicate 2 (A software tool for estimating the capacity of agricultural land in England and Wales for recycling organic materials (ALOWANCE) - Nicholson, F A; Humphries, S; Anthony, S G; Smith, S R; Chadwick, D; Chambers, B J)     Times Cited in Web of Science Core Collection: 12     Total Times Cited: 12     Cited Reference Count: 27 | RAYYAN-INCLUSION: {""Elizabeth""=>""Excluded"", ""Levi""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No sustainability dimension",10.1111/j.1475-2743.2012.00410.x,ALOWANCE;BARLEY-GRAIN;BRITISH WHEAT;Britain;British Isles;Commonwealth of Nations;England;Europe;GIS;Great Britain;OECD Countries;UK;United Kingdom;Wales;Western Europe;agricultural land;animal manures;capacity;composts;computer programs;computer software;domestic animals;farmland;geographic information systems;geographical information systems;high income countries;landbank;livestock;livestock manure;manures;movement;organic materials;recycling;soil resources;solid wastes;testing;very high Human Development Index countries;Software,,
rayyan-363932306,Establishing Standards and Assessment Criteria for Ecological Instream Flow Needs in Agricultural Regions of Canada,2012,,,Journal of Environmental Quality,,41,1,41-51,"Peters, D L and Baird, D J and Monk, W A and Armanini, D G",https://www.cabdirect.org/cabdirect/abstract/20123079895,English,American Society of Agronomy,Madison,,"From Duplicate 1 (Establishing standards and assessment criteria for ecological instream flow needs in agricultural regions of Canada. - Peters, D L; Baird, D J; Monk, W A; Armanini, D G)     Author Affiliation: Environment Canada, Water &amp; Climate Impacts Research Centre, Univ. of Victoria, Victoria BC V8W 3R4, Canada.     Author Email: daniel.peters@ec.gc.ca     From Duplicate 2 (Establishing Standards and Assessment Criteria for Ecological Instream Flow Needs in Agricultural Regions of Canada - Peters, D L; Baird, D J; Monk, W A; Armanini, D G)     Times Cited in Web of Science Core Collection: 21     Total Times Cited: 22     Cited Reference Count: 61 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included""} | RAYYAN-LABELS: Water,Canada,Region/landscape",10.2134/jeq2011.0094,APEC countries;America;Canada;Commonwealth of Nations;FRAMEWORK;HYDROLOGIC ALTERATION;INDEX;MACROINVERTEBRATE COMMUNITY RESPONSE;North America;OECD Countries;REQUIREMENTS;RIVERS;SCIENCE;TRENDS;VARIABILITY;WATER;agricultural land;aquatic environment;assessment;biota;ecosystems;environment;farmland;flow;high income countries;hydrology;indicators;land use;requirements;responses;rivers;stream flow;streams;structure;very high Human Development Index countries;water resources,,
rayyan-363932307,Can Birds Be Used as Tools To Inform Resilient Farming and Environmental Care in the Development of Biodiversity-Friendly Market Accreditation Systems? Perspectives of New Zealand Sheep and Beef Farmers,2012,,,Journal of Sustainable Agriculture,,36,7,759-787,"Meadows, S",https://www.cabdirect.org/cabdirect/abstract/20123292222,English,Taylor & Francis,Philadelphia,,"From Duplicate 1 (Can birds be used as tools to inform resilient farming and environmental care in the development of biodiversity-friendly market accreditation systems? Perspectives of New Zealand sheep and beef farmers. - Meadows, S)     Author Affiliation: Agriculture Research Group on Sustainability, University of Otago, P.O. Box 56, Dunedin, New Zealand.     Author Email: sarahmeadows@mac.com     From Duplicate 2 (Can Birds Be Used as Tools To Inform Resilient Farming and Environmental Care in the Development of Biodiversity-Friendly Market Accreditation Systems? Perspectives of New Zealand Sheep and Beef Farmers - Meadows, S)     Times Cited in Web of Science Core Collection: 5     Total Times Cited: 5     Cited Reference Count: 65 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: Biodiversty,New Zealand,Community/landscape",10.1080/10440046.2012.672375 WE  - Science Citation Index Expanded (SCI-EXPANDED),AGRICULTURE;APEC countries;ATTITUDES;Artiodactyla;Australasia;Bos;Bovidae;CHALLENGES;CONSERVATION;Chordata;Commonwealth of Nations;INDICATORS;INTENSIFICATION;MANAGEMENT;NICHE OPPORTUNITIES;New Zealand;OECD Countries;Oceania;Ovis;PARTICIPATION;SCHEMES;agroecosystem;animals;audit;beef cattle;beef cows;biodiversity;birds;cattle;cows;eukaryotes;farmers' attitudes;farmland birds;high income countries;mammals;resilience;ruminants;sheep;surveys;vertebrates;very high Human Development Index countries;wild animals;wild birds;wildlife conservation;wildlife management;Sheep,,
rayyan-363932308,A dual indicator set to help farms achieve more sustainable crop protection.,2012,,,Pest Management Science,,68,8,1130-1140,"Wustenberghs, H and Delcour, I and D'Haene, K and Lauwers, L and Marchand, F and Steurbaut, W and Spanoghe, P",https://www.cabdirect.org/cabdirect/abstract/20123267615,English,Wiley-Blackwell,"Inst Agr & Fisheries Res ILVO, Social Sci Unit, B-9820 Merelbeke, Belgium",,"From Duplicate 1 (A dual indicator set to help farms achieve more sustainable crop protection - Wustenberghs, H; Delcour, I; D'Haene, K; Lauwers, L; Marchand, F; Steurbaut, W; Spanoghe, P)     Times Cited in Web of Science Core Collection: 10     Total Times Cited: 10     Cited Reference Count: 62     From Duplicate 2 (A dual indicator set to help farms achieve more sustainable crop protection. - Wustenberghs, H; Delcour, I; D'Haene, K; Lauwers, L; Marchand, F; Steurbaut, W; Spanoghe, P)     Author Affiliation: Social Sciences Unit, Institute for Agriculture and Fisheries Research (ILVO), Burg. Van Gansberghelaan 115, Box 2, 9820 Merelbeke, Belgium.     Author Email: hilde.wustenberghs@ilvo.vlaanderen.be | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: Health,Community/landscape,Social value/attitudes",10.1002/ps.3332 WE  - Science Citation Index Expanded (SCI-EXPANDED),AGRICULTURE;BELIEFS;ENVIRONMENTAL-IMPACT;MODEL;MOTIFS;PESTICIDE USE;PIAS;POCER;RISK INDICATOR;SYSTEMS;TOOLS;awareness;crop protection;farmers' attitudes;indicators;inquiry;knowledge;knowledge level;monitoring;participatory approach;plant protection;risk assessment;social learning;sustainability,,
rayyan-363932309,"Exploring a safe operating approach to weighting in life cycle impact assessment - a case study of organic, conventional and integrated farming systems",2012,,,JOURNAL OF CLEANER PRODUCTION,,37,,147-153,"Tuomisto, H L and Hodge, I D and Riordan, P and Macdonald, D W",https://www.cabdirect.org/cabdirect/abstract/20123318012,English,Elsevier Ltd,Oxford,,"From Duplicate 1 (Exploring a safe operating approach to weighting in life cycle impact assessment - a case study of organic, conventional and integrated farming systems - Tuomisto, H L; Hodge, I D; Riordan, P; Macdonald, D W)     Times Cited in Web of Science Core Collection: 40     Total Times Cited: 41     Cited Reference Count: 26     From Duplicate 2 (Exploring a safe operating approach to weighting in life cycle impact assessment - a case study of organic, conventional and integrated farming systems. - Tuomisto, H L; Hodge, I D; Riordan, P; Macdonald, D W)     Author Affiliation: Wildlife Conservation Research Unit, University of Oxford, The Recanati-Kaplan Centre, Tubney House, Abingdon Road, Tubney, Oxon OX13 5QL, UK.     Author Email: htuomist@gmail.com | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: metric development,Holistic assessment",10.1016/j.jclepro.2012.06.025,ECONOMICS;ENERGY;Environmental impacts;Impact assessment;Integrated farming;Life cycle assessment;METHODOLOGY;Miscanthus;Organic farming;Poaceae;Poales;Spermatophyta;Weighting factors;agricultural systems;angiosperms;atmosphere;biodiversity;case studies;climate;climate change;climatic change;commelinids;eukaryotes;farming systems;land use;life cycle analysis;life cycle assessment;monocotyledons;nitrogen;nitrogen cycle;ozone;phosphorus;plants;uncertainties;uncertainty,,
rayyan-363932310,On the use of remote sensing techniques for monitoring spatio-temporal soil organic carbon dynamics in agricultural systems.,2012,,,CATENA,,94,,64-74,"Croft, H and Kuhn, N J and Anderson, K",https://www.cabdirect.org/cabdirect/abstract/20123138534,English,Elsevier Ltd,"Univ Basel, Dept Environm Sci, CH-4056 Basel, Switzerland",,"From Duplicate 1 (On the use of remote sensing techniques for monitoring spatio-temporal soil organic carbon dynamics in agricultural systems. - Croft, H; Kuhn, N J; Anderson, K)     Author Affiliation: Department of Environmental Sciences, University of Basel, CH-4056 Basel, Switzerland.     Author Email: holly.croft@unibas.ch     From Duplicate 2 (On the use of remote sensing techniques for monitoring spatio-temporal soil organic carbon dynamics in agricultural systems - Croft, H; Kuhn, N J; Anderson, K)     Times Cited in Web of Science Core Collection: 60     Total Times Cited: 69     Cited Reference Count: 137 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: Soil,Review,climate/air,Community/landscape",10.1016/j.catena.2012.01.001,CHEMICAL-PROPERTIES;CLAY CONTENT;EROSION;FIELD-SCALE;INFRARED REFLECTANCE SPECTROSCOPY;LAND DEGRADATION;Optical;PREDICTION;Reflectance;SPATIAL VARIABILITY;SPECTRAL REFLECTANCE;Soil erosion;Soil organic matter;Spatial analysis;Spectroscopy;TERRAIN ATTRIBUTES;agricultural systems;analysis;assessment;atmosphere;breakdown;carbon;erosion;farming systems;instruments;integration;land management;measurement;metrology;models;monitoring;organic carbon;organic matter;organic matter in soil;productivity;reflectance;remote sensing;simulation;soil chemistry;soil fertility;soil organic matter;soil quality;soil science;spacing;spatial analysis;spectroscopy;techniques,,
rayyan-363932311,Development of a sustainable evaluation indicator for livestock farming system on the basis of nitrogen flow: a case study on the material flow in livestock farming along with fodder crop production and grazing on abandoned paddy fields,2012,,,PADDY AND WATER ENVIRONMENT,,10,1,7-15,"Zaitsu, Y and Kobayashi, H",https://www.cabdirect.org/cabdirect/abstract/20123065747,English,Springer,Dordrecht,,"From Duplicate 1 (Development of a sustainable evaluation indicator for livestock farming system on the basis of nitrogen flow: a case study on the material flow in livestock farming along with fodder crop production and grazing on abandoned paddy fields. - Zaitsu, Y; Kobayashi, H)     Author Affiliation: Appropriate Agriculture International Co Ltd, 1-2-3-403 Haramachida, Machida, Tokyo 194-0013, Japan.     Author Email: zaitsu@koushu.co.jp     From Duplicate 2 (Development of a sustainable evaluation indicator for livestock farming system on the basis of nitrogen flow: a case study on the material flow in livestock farming along with fodder crop production and grazing on abandoned paddy fields - Zaitsu, Y; Kobayashi, H)     Times Cited in Web of Science Core Collection: 1     Total Times Cited: 1     Cited Reference Count: 19 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: Field,Japan,Efficiency",10.1007/s10333-011-0250-x WE  - Science Citation Index Expanded (SCI-EXPANDED),Abandoned paddy field;Grazing;Livestock farming system;Material flow;Nitrogen flow;abandoned land;animal production;crop production;crops;eukaryotes;fattening;feed crops;finishing;fodder crops;fodder plants;grazing;indicators;livestock feeding;nitrogen;paddies;paddy fields;plants;rice fields;rice paddies;rice-fields;ricefields;sustainability,,
rayyan-363932312,Assessment of best management practices for nutrient cycling: A case study on an organic farm in a Mediterranean-type climate,2012,,,JOURNAL OF SOIL AND WATER CONSERVATION,,67,1,16-31,"Smukler, S M and O'Geen, A T and Jackson, L E",https://www.cabdirect.org/cabdirect/abstract/20123049730,English,Soil and Water Conservation Society,"Univ British Columbia, Fac Land & Food Syst, Vancouver, BC V5Z 1M9, Canada",,"From Duplicate 1 (Assessment of best management practices for nutrient cycling: a case study on an organic farm in a Mediterranean-type climate. - Smukler, S M; O'Geen, A T; Jackson, L E)     Author Affiliation: Faculty of Land and Food Systems, University of British Columbia, Vancouver, British Columbia, Canada.     From Duplicate 2 (Assessment of best management practices for nutrient cycling: A case study on an organic farm in a Mediterranean-type climate - Smukler, S M; O'Geen, A T; Jackson, L E)     Times Cited in Web of Science Core Collection: 26     Total Times Cited: 27     Cited Reference Count: 78 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: USA,Farm,Water",10.2489/jswc.67.1.16,APEC countries;America;CROPPING SYSTEMS;California;FERTILIZER;IRRIGATION;Lycopersicon esculentum;NITRATE;NITROUS-OXIDE EMISSIONS;North America;OECD Countries;Pacific States of USA;SOIL-WATER;Solanaceae;Solanales;Solanum;Solanum lycopersicum;Spermatophyta;TILLAGE;USA;United States of America;VEGETABLE PRODUCTION;WINTER COVER CROPS;Western States of USA;YIELD;ammonium;angiosperms;anion exchange;anion exchange resins;best management practices;carbon;climate;cover crops;crops;cycling;dissolved organic carbon;ditches;eco-agriculture;ecological agriculture;emissions;environmental factors;eudicots;eukaryotes;fallow;fallowing;high income countries;irrigation;leaching;losses;monitoring;nitrate nitrogen;nitrogen;nitrous oxide;nutrient cycling;nutrients;organic carbon;organic culture;organic farming;phosphorus;plants;ponds;runoff;storms;surface water;suspended solids;tailwater pond;tempests;tomatoes;tradeoffs;very high Human Development Index countries;water composition and quality;water quality;watering;yields,,
rayyan-363932313,On-farm assessment of tillage impact on the vertical distribution of soil organic carbon and structural soil properties in a semiarid region in Tunisia,2012,,,Journal of Environmental Management,,113,,488-494,"Jemai, I and Ben Aissa, N and Ben Guirat, S and Ben-Hammouda, M and Gallali, T",https://www.cabdirect.org/cabdirect/abstract/20133013394,English,Elsevier Ltd,"Fac Sci Tunis, Tunis 1060, Tunisia",,"From Duplicate 1 (On-farm assessment of tillage impact on the vertical distribution of soil organic carbon and structural soil properties in a semiarid region in Tunisia. - Jemai, I; Ben Aissa, N; Ben Guirat, S; Ben-Hammouda, M; Gallali, T)     Author Affiliation: Faculté des sciences de Tunis, Campus Universitaire, Tunis 1060, Tunisia.     Author Email: j_amona20@yahoo.fr     From Duplicate 2 (On-farm assessment of tillage impact on the vertical distribution of soil organic carbon and structural soil properties in a semiarid region in Tunisia - Jemai, I; Ben Aissa, N; Ben Guirat, S; Ben-Hammouda, M; Gallali, T)     Times Cited in Web of Science Core Collection: 19     Total Times Cited: 20     Cited Reference Count: 86 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: Soil,Field,Tunisia",10.1016/j.jenvman.2012.05.029 WE  - Science Citation Index Expanded (SCI-EXPANDED),Africa;BULK-DENSITY;CONSERVATION TILLAGE;Conventional tillage;Crop residue;Fabaceae;Fabales;Francophone Africa;HYDRAULIC-PROPERTIES;Hedysarum;Hedysarum coronarium;LONG-TERM;Maghreb;Mediterranean Region;NO-TILLAGE;No-tillage;North Africa;PHYSICAL-PROPERTIES;Papilionoideae;Poaceae;Poales;RESIDUE MANAGEMENT;ROOT-GROWTH;STRATIFICATION RATIO;Soil organic carbon;Soil structure;Spermatophyta;Triticum;Triticum aestivum;Tunisia;Vicia;Vicia faba;WATER-CONTENT;angiosperms;broad beans;bulk density;chemical properties of soil;clay loam soils;commelinids;cropping systems;eudicots;eukaryotes;faba beans;farming;fava beans;field beans;high Human Development Index countries;horse beans;infiltration;lower-middle income countries;monocotyledons;mulches;mulching materials;no-tillage;no-tillage systems;on-farm production;organic carbon;organic matter in soil;physical properties of soil;plants;porosity;semiarid climate;soil chemical properties;soil cultivation;soil density;soil organic matter;soil physical properties;soil profiles;soil properties;soil types;tic beans;tillage;vertical distribution;wheat;zero tillage,,
rayyan-363932314,Measuring the risk of non-compliance in Italian organic farms with parametric and non parametric models,2012,,,NEW MEDIT,,11,4,35-38,"Gambelli, D and Solfanelli, F and Zanoli, R","[""http://www.iamb.it/iamb2005/programmi/webcreate.php?id=31&idarea=5"", ""https://www.cabdirect.org/cabdirect/abstract/20133074433""]",English,Italian Institute of CIHEAM,"Univ Politecn Marche, Dipartimento Sci Agr Alimentari & Ambientali, Ancona, Italy FU  - CERTCOST Project with European Community under the 7th Framework Programme [207727] FX  - This publication was generated as part of the CERTCOST Project, agreement no. 207727 (http://www.certcost.org), with financial support from the European Community under the 7th Framework Programme. The publication reflects the views of the author(s) and not those of the European Community, which is not to be held liable for any use that may be made of the information contained. PU  - BONONIA UNIV PRESS PI  - BOLOGNA PA  - VIA UGO FOSCOLO, 7, BOLOGNA, 40123, ITALY",,"From Duplicate 1 (Measuring the risk of non-compliance in Italian organic farms with parametric and non parametric models. - Gambelli, D; Solfanelli, F; Zanoli, R)     Author Affiliation: Dipartimento di Scienze Agrarie, Alimentari e Ambientali, Università Politecnica delle Marche, Ancona, Italy.     Author Email: d.gambelli@univpm.it     From Duplicate 2 (Measuring the risk of non-compliance in Italian organic farms with parametric and non parametric models - Gambelli, D; Solfanelli, F; Zanoli, R)     Times Cited in Web of Science Core Collection: 6     Total Times Cited: 6     Cited Reference Count: 17 | RAYYAN-INCLUSION: {""Elizabeth""=>""Excluded"", ""Levi""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No metrics",,Bayesian network;Europe;European Union Countries;Italy;Mediterranean Region;OECD Countries;Southern Europe;certification;count data models;eco-agriculture;ecological agriculture;high income countries;inspection;measurement;metrology;models;non-compliance;organic culture;organic farming;risk;risk assessment;risk-based certification;very high Human Development Index countries,,
rayyan-363932315,"Emergy evaluation of organic and conventional marine shrimp farms in Guaraira Lagoon, Brazil",2012,,,JOURNAL OF CLEANER PRODUCTION,,35,,194-202,"Lima, J S G and Rivera, E C and Focken, U",https://www.cabdirect.org/cabdirect/abstract/20123277093,English,Elsevier Ltd,"Univ Hohenheim 480B, Inst Anim Prod Trop & Subtrop, Dept Aquaculture Syst & Anim Nutr, D-70593 Stuttgart, Germany",,"From Duplicate 1 (Emergy evaluation of organic and conventional marine shrimp farms in Guaraíra Lagoon, Brazil. - Lima, J S G; Rivera, E C; Focken, U)     Author Affiliation: Department of Aquaculture Systems and Animal Nutrition, Institute for Animal Production in the Tropics and Subtropics, University of Hohenheim (480B), D-70593 Stuttgart, Germany.     Author Email: jsglima@gmail.com     From Duplicate 2 (Emergy evaluation of organic and conventional marine shrimp farms in Guaraira Lagoon, Brazil - Lima, J S G; Rivera, E C; Focken, U)     Times Cited in Web of Science Core Collection: 19     Total Times Cited: 21     Cited Reference Count: 33 | RAYYAN-INCLUSION: {""Elizabeth""=>""Excluded"", ""Levi""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: None food/agri related",10.1016/j.jclepro.2012.05.009,AQUACULTURE;America;Brazil;Community of Portuguese Language Countries;Crustacea;Decapoda;Emergy analysis;FISH;Latin America;Malacostraca;NITROGEN;Organic aquaculture;Penaeus vannamei;SUSTAINABILITY;Shrimp farming;South America;analytical methods;analytical techniques;animal breeding;animals;aquacultural methods;aquacultural systems;aquacultural techniques;aquaculture;aquaculture methods;aquaculture systems;aquaculture techniques;aquatic animals;aquatic invertebrates;aquatic organisms;aquatic species;arthropods;eco-agriculture;ecological agriculture;economic analysis;environmental effects;environmental impact;eukaryotes;high Human Development Index countries;input output analysis;invertebrates;marine ecology;organic culture;organic farming;production costs;renewable energy;renewable resources;shellfish;shellfish culture;shellfish farming;shellfish ranching;shrimp culture;shrimp farming;shrimp ranching;shrimps;sustainability;traditional farming;upper-middle income countries;Military Personnel,,
rayyan-363932316,"Input-orientated data envelopment analysis framework for measuring and decomposing economic, environmental and ecological efficiency: an application to OECD agriculture.",2012,,,ENVIRONMENTAL & RESOURCE ECONOMICS,,51,3,431-452,"Hoang, Viet Ngu and Alauddin, M",https://www.cabdirect.org/cabdirect/abstract/20123103006,English,Springer,Dordrecht,,"From Duplicate 1 (Input-orientated data envelopment analysis framework for measuring and decomposing economic, environmental and ecological efficiency: an application to OECD agriculture. - Hoang, Viet Ngu; Alauddin, M)     Author Affiliation: Queensland University of Technology, Garden Point Campus, Brisbane, QLD 4000, Australia.     Author Email: vincent.hoang@qut.edu.au     From Duplicate 2 (Input-Orientated Data Envelopment Analysis Framework for Measuring and Decomposing Economic, Environmental and Ecological Efficiency: An Application to OECD Agriculture - Hoang, V N; Alauddin, M)     Times Cited in Web of Science Core Collection: 69     Total Times Cited: 71     Cited Reference Count: 49 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included"", ""Levi""=>""Included""} | RAYYAN-LABELS: OECD,Efficiency,Profitability,National/regional",10.1007/s10640-011-9506-6 WE  - Social Science Citation Index (SSCI),Agricultural sustainability;BALANCE;COUNTRIES;Cumulative exergy analysis;EUTROPHICATION;EXERGY;Ecological efficiency;Economic efficiency;Environmental efficiency;IMPACT;INDICATORS;Nutrient efficiency;OECD Countries;PERFORMANCE;PRODUCTIVE EFFICIENCY;Performance indicator;SOIL-EROSION;UNDESIRABLE OUTPUTS;agricultural production;agricultural sector;economic analysis;efficiency;farm inputs;optimization methods;sustainability,,
rayyan-363932317,"Farmers' participatory research on rodent control in Punjab state: survey, education, impact assessment and sustainability.",2012,,,Crop Protection,,34,,25-31,"Singla, Neena and Babbar, B K and Kaur, Jaswinder",https://www.cabdirect.org/cabdirect/abstract/20123118309,English,Elsevier Ltd,"Punjab Agr Univ, Dept Zool, Ludhiana 141004, Punjab, India FU  - Indian Council of Agricultural Research, New Delhi, India FX  - The authors are thankful to the Indian Council of Agricultural Research, New Delhi, India for providing financial assistance. PU  - ELSEVIER SCI LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",,"From Duplicate 1 (Farmers' participatory research on rodent control in Punjab state: survey, education, impact assessment and sustainability. - Singla, Neena; Babbar, B K; Kaur, Jaswinder)     Author Affiliation: Department of Zoology, Punjab Agricultural University, Ludhiana - 141 004, Punjab, India.     Author Email: neenasingla1@gmail.com     From Duplicate 2 (Farmers' participatory research on rodent control in Punjab state: Survey, education, impact assessment and sustainability - Singla, N; Babbar, B K; Kaur, J)     Times Cited in Web of Science Core Collection: 2     Total Times Cited: 2     Cited Reference Count: 60 | RAYYAN-INCLUSION: {""Elizabeth""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: No sustainability dimension",10.1016/j.cropro.2011.11.022 WE  - Science Citation Index Expanded (SCI-EXPANDED),ATTITUDES;Asia;Commonwealth of Nations;DAMAGE;Farmers' education;Impact assessment;India;Indian Punjab;KNOWLEDGE;MANAGEMENT;Oryza;Oryza sativa;Poaceae;Poales;Punjab (India);Rodent control;Rodenticide;South Asia;Spermatophyta;Survey;Sustainability;Triticum;Triticum aestivum;agricultural education;angiosperms;chemical control;commelinids;eukaryotes;farmer participatory research;farmers' attitudes;farming systems research;lower-middle income countries;medium Human Development Index countries;monocotyledons;paddy;pests;plant pests;plants;rice;rodent control;rodenticides;vertebrate pests;wheat;zinc phosphide;Rodentia,,
rayyan-363932318,Sustainability evaluation of automatic and conventional milking systems on organic dairy farms in Denmark.,2012,,,NJAS-WAGENINGEN JOURNAL OF LIFE SCIENCES,,59,1,25-33,"Oudshoorn, F W and Kristensen, T and van der Zijpp, A J and de Boer, I J M and Zijpp, A J van der and Boer, I J M de",https://www.cabdirect.org/cabdirect/abstract/20123227222,English,Koninklijke Landbouwkundige Vereniging (Royal Netherlands Society for Agricultural Sciences),"Aarhus Univ, Fac Agr Sci, DK-8830 Tjele, Denmark",,"From Duplicate 1 (Sustainability evaluation of automatic and conventional milking systems on organic dairy farms in Denmark. - Oudshoorn, F W; Kristensen, T; Zijpp, A J van der; Boer, I J M de)     Author Affiliation: Faculty of Agricultural Sciences, Aarhus University, 8830 Tjele, Denmark.     Author Email: frankw.oudshoorn@agrsci.dk     From Duplicate 2 (Sustainability evaluation of automatic and conventional milking systems on organic dairy farms in Denmark - Oudshoorn, F W; Kristensen, T; van der Zijpp, A J; de Boer, I J M)     Times Cited in Web of Science Core Collection: 16     Total Times Cited: 18     Cited Reference Count: 45 | RAYYAN-INCLUSION: {""Elizabeth""=>""Included""} | RAYYAN-LABELS: Field,Denmark,Holistic assessment",10.1016/j.njas.2011.05.003 WE  - Science Citation Index Expanded (SCI-EXPANDED),Artiodactyla;Automatic milking system;Bacteria;Bos;Bovidae;COWS;Chordata;Clostridia;Clostridiaceae;Clostridiales;Clostridium;Denmark;EGG-PRODUCTION SYSTEMS;Europe;European Union Countries;FREQUENCY;Firmicutes;Grazing;IMPACT;INDICATORS;MANAGEMENT;Nordic Countries;Northern Europe;OECD Countries;Organic dairy farming;Scandinavia;Sustainability indicators;animal feeding;animal health;animal rights;animal welfare;animals;bacterium;cattle;consumers;costings;costs;cows;culling;dairy cows;dairy farmers;dairy farming;dairy farms;economic viability;environmental effects;environmental impact;eukaryotes;evaluation;farmers;fatty acids;feed intake;feeding stuffs;feeds;food quality;grazing;health;high income countries;mammals;milk;milk components;milk composition;milk constituents;milk quality;milk yield;milking;prokaryotes;ruminants;somatic cell count;spores;sustainability;urea;vertebrates;very high Human Development Index countries;Milk Ejection,,
