tool_id,include,reason_exclude,missing_dimension,reviewer_name,tool_name,acronym,rayyan_ref,web_ref,author,developer,year_published,updated,year_updated,updated_ref,promoted_tool,specify_indicators,wider_use,wider_use_evidence,wider_use_notes,adapted,adapted_ref,sustain_framing,dimensions,themes,theme_no,social_themes,enviro_themes,economic_themes,human_themes,gov_themes,product_themes,named_framework,Conceptual_framing,framing_definition,sgd,framing_indicator_link,Indicator_convenience,sustainability_view,tool_orientiation,stakeholder_design,scale_measure,scale_report,localisable,country_use,system_type,visualise_framework,target_user,intended_function,comparison_type,verifiable,local_indicators,stakeholder_involved,indicator_selection,data_type,data_collection,complexity,access,paid_access,online_platform,guide_assess,guide_analysis,guide_interpret,guide_data_gov,informed_consent,visualise_result,visualise_type,assessment_results,metric_no,collection_time,interval,interaction,interaction_expl,scaleable,aggregation,weighting,weighting_preference,comments,once_multi,metric_eval
1,Yes,NA,NA,Mary,OCIS Public Goods Tool,PG,363932727,https://www.organicresearchcentre.com/our-research/research-project-library/public-goods-tool/,"Gerrard et al., 2011",Organic Research Centre (ORC),2011,Yes,2014,https://www.organicresearchcentre.com/manage/authincludes/article_uploads/project_outputs/OF0398_PG.pdf,Yes,Yes,Yes,https://www.organicresearchcentre.com/our-research/research-project-library/public-goods-tool/,Used in a number of EU research projects and by DEFRA in the UK,Yes,https://www.organicresearchcentre.com/our-research/research-project-library/public-goods-tool/,Classical view,Social; environmental; economic,Social capital; Soil management; Biodiversity; Landscape and heritage; Water management; Manure management and nutrients; Energy and carbon; Agricultural systems diversity; Farm business resilience; Food security; Animal health and welfare,11,Landscape and heritage; Social capital,Soil management; Biodiversity; Landscape and heritage; Water management; Manure management and nutrients; Energy and carbon; Agricultural systems diversity,Farm business resilience,Food security,NA,Animal health and welfare; Agricultural systems diversity,NA,Public goods,"Public goods as described by Cooper et al. (2009). ""a public good must be non‐excludable, i.e. available to all, and non‐rival, i.e. its consumption by one individual does not diminish its availability to others. As such, benefits such as an improved environment or better water quality can be perceived to be public goods"" (Gerrard et al ., 2011)",15; 13; 8; 2; 3; 6; 7,Yes,No,Both,consultation/feedback incorporated,Advisors; researchers; NGOs,Farm/household,Farm/household,context-specific,UK; Europe,Large/commercial farms,No,Farmers; agricultural advisors,ST,Change over time; between cases,No,No,Yes,Expert consultation; literature; participatory,Quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected),Household/farm survey,Low,No restriction,No,Yes,Yes,Yes,No,No,No,Yes,Radar,Scoring system,133,Medium,Years,No,NA,Yes,Yes,No,NA,NA,Once,Complete
2,Yes,NA,NA,Mary,Sustainable Intensification Assessment Framework,SIA,NA,https://www.k-state.edu/siil/documents/docs_siframework/Guide%20for%20SI%20Assessment%20Framework%20-%2010.24.17.pdf,"Musumba et al., 2017",United States Agency for International Development (USAID),2017,No,NA,NA,Yes,Yes,Yes,https://scholar.google.co.uk/scholar?q=sustainable+intensification+assessment+framework&hl=en&as_sdt=0&as_vis=1&oi=scholart,"From a google scholar search, there are other researchers that have used SIA in their research",No,NA,Classic productive view,Social; environmental; economic; human; productivity,Equity/gender; social cohesion; collective action; biodiversity; water quality; soil quality; Profitability; variability of profits; labour requirement; Nutrition; food security; health; animal production; crop yields; variability of production,15,equity/gender; social cohesion; collective action,biodiversity; water quality; soil quality,Profitability; variability of profits; labour requirement,Nutrition; food security; health,NA,animal production; crop yields; variability of production,NA,Sustainable Intensification,"Sustainable Intensification (SI) ""Agricultural intensification may be defined as increasing output per unit input per unit time. A narrow definition of sustainable intensification is “production of more food on the same piece of land while reducing the negative environmental impacts and at the same time increasing the contributions to natural capital and flow of environmental services” (Zurek et al., 2015). The definition of SI has evolved to include non‐environmental dimensions such as social issues, economics, and the human condition (Loos et al., 2014)."" (Musumba et al. 2017)",5; 16; 15; 6; 8; 2; 3,Yes,No,Performance-based,consultation/feedback incorporated,Researchers,Field/plot; Farm/household; Landscape,Field/plot; Farm/household; Landscape,Adaptable,NA,Smallholder farms,No,Researchers,ST; R,Change over time; between cases,Yes,No,No,Expert consultation; literature,"Quantitative (measured); Quantitative (enumerator/farmer estimated), Quantitative (predicted), Qualitative (enumerator/farmer selected)",household/farm surveys; field measurements; remote-sensing; expert opinion,Medium; High,No restriction,No,No,Yes,No,No,No,No,Yes,Radar,scoring system; comparison between cases,30,Medium,Years,No,NA,Yes,No,NA,NA,NA,Once,Complete
3,Yes,NA,NA,Edith,Indicateurs de Durabilité des Exploitations Agricoles,IDEA,363933186; 363933784; 363933684; 363932088; 363932137; 363932270; 363932609; 363932640; 363933485; 363933569; 363931845; 363932093; 363933728,https://methode-idea.org/,"Zahm et al., 1999",Multidisciplinary Scienctific Committee (CS-IDEA),1999,Yes,2023,https://methode-idea.org/fileadmin/user_upload/Documents/9.Rapports_usages_resultats/Doc_N__7.4_papier_IDEA_viticulture_revue_IVES_FR.pdf,Yes,Yes,Yes,"From the assessment of the sustainability of farms using the IDEA method to the characterisation of the sustainability of the ""European farm"" using the IDERICA method | Request PDF (researchgate.net)",NA,No,https://www.researchgate.net/publication/339899725_Assessing_the_Sustainability_of_Horticultural_Farms_in_Central_Senegal_An_Adaptation_of_the_IDEA_Method,Classical view,Agroecological scale; Socio-territorial scale; Economic scale,Functional diversity; Material & energy flow looping; Sobrierity in the use of resources; Ensuring favourable conditions for MLT production; Reduce impacts on human health & ecosystem; Feeding; Local development and circular economy; Employment and quality at work; Ethics & human development; Economic & financial viability; Independence; transmissibility; Overal efficiency,13,Local development and circular economy; Employment & quality at work; Ethics & human development,Functional diversity; material & energy flow looping; sobrierity in the use of resources; Ensuring favourable conditions for MLT production; Reduce impacts on Human health & ecosystem; Feeding,Economic & financial viability; Independence; transmissibility; Overal efficiency,Human health; Feeding; employment & quality at work; Ethics & human development; Independence; functional diversity,Economic,Material & energy flow looping; Sobrierity in the use of resources; Overall efficiency,NA,Strong sustainability; Multifunctionality; Strong agroecology; restricted and extended sustainability,?,1; 3; 7; 8; 9; 12,Yes,No,Both,consultation/feedback incorporated,Teachers; Farm Managers; Technicians; development agents; Farmers,Farm; Field/plot; Production systems; Individual,Farm; Food systems,Generalisable,Europe; Benin,Both,Yes,Farmers; Researchers; Agricultural advisors; Teachers in Agricultural institutions,MP,Change over time,No,Yes,No,Expert consultation,Quantitative (enumerator/farmer estimated); Quantitative (researcher estimated),Expert opinion,Medium,No restriction,No,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,Bar; radar; Table; Histogram,Scoring system,53,Medium,Years,Yes,Yes,Yes,Yes,Yes,Economic (1); Social (2); Environmental (3),NA,once,Complete
4,Yes,NA,NA,Brian,Sustainability Assessment of Food and Agriculture systems,SAFA,363933784; 363933684; 363933186; 363932657; 363932727; 363933129; 363933602; 363933701; 363933731,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/SAFA_Indicators_final_19122013.pdf,NA,Food and Agriculture Organization (FAO),2009,Yes,2013,https://www.fao.org/fileadmin/templates/nr/sustainability_pathways/docs/SAFA_Indicators_final_19122013.pdf,Yes,Yes,Yes,https://www.sciencedirect.com/science/article/abs/pii/S0921800916309004?via%3Dihub,It was used in more than 104 countries during the period from January 2016 to June 2017,Yes,https://www.tandfonline.com/doi/abs/10.1080/14735903.2014.954452,Classical view,Social; environmental; economic; Institutional/Governance,Decent Livelihoods; Fair Trading Practices; Labour Rights; Equity; Human Health and Safety; Cultural Diversity; Atmosphere; Water; Land; Biodiversity; Materials and Energy; Animal Welfare; Investment; Vulnerability; Product Quality and Information; Local Economy; Corporate Ethics; Accountability; Participation; Rule of Law; Holistic Management; Environmental Integrity; Economic Resilience; Social Well-Being,21,Decent Livelihoods; Fair Trading Practices; Labour Rights; Equity; Human Health and Safety; Cultural Diversity,Atmosphere; Water; Land; Biodiversity; Materials and Energy; Animal Welfare,Investment; Vulnerability; Product Quality and Information; Local Economy,NA,Corporate Ethics; Accountability; Participation; Rule of Law; Holistic Management,NA,Sustainability Assessment of Food and Agriculture (SAFA) Guidelines,Sustainable food/agriculture,?,2; 3; 6; 8; 12; 13; 15,NA,No,Both,consultation/feedback incorporated,Multiple stakeholders,Farm/household; value chain,farm/household; value chain,Generalisable,Global,Smallholder farms,Yes,Farmers; policy makers; researchers; farmer organizations,PA; R,Between cases,Yes,Yes,Yes,Expert consultation; Literature review; Participatory engagement,Quantitative (measured); Quantitative (enumerator/farmer estimated),Household/farm survey; Firm/business survey; Expert opinion,Medium,No restriction,No,No,Yes,Yes,Yes,No,Unknown,Yes,Radar,Scoring system,116,Medium,Unknown,Yes,?,No,No,No,No,"The SAFA framework is a public good and can be accessed and utilized by organizations, researchers, and stakeholders without any direct cost. The FAO provides guidance materials, manuals, and resources related to SAFA on their official website, which can be freely downloaded. However, it's important to note that specific tools or software platforms developed by third-party organizations that implement the SAFA framework may have their own pricing models or subscription fees.",Once,Complete
5,Yes,NA,NA,Beatrice,Tool for Agroecology Performance Evaluation,TAPE,363933280,https://www.fao.org/documents/card/en/c/ca7407en/,NA,Food and Agriculture Organization (FAO),2019,No,NA,NA,Yes,Yes,Yes,https://www.frontiersin.org/articles/10.3389/fsufs.2020.579154/full. https://ali-sea.org/cambodia-national-workshop-on-the-application-of-faos-tool-for-agroecology-performance-evaluation-tape-5-7-february-2020-cambodia/ https://www.fao.org/agroecology/database/detail/en/c/1320371/ https://www.fao.org/agroecology/slideshow/news-article/en/c/1255457/ https://www.fao.org/agroecology/slideshow/news-article/en/c/1236087/ https://www.fao.org/3/cb9518es/cb9518es.pdf https://www.fao.org/3/cb9160en/cb9160en.pdf,TAPE has been widely applied in more than 45 countries 70% of them being in Africa by different research organizations,No,NA,Classic productive view,Environmental; social & cultural; economic; health & nutrition; governance,"Secure land tenure; Added value; Exposure to pesticides; Dietary diversity; Women’s empowerment; Youth employment; Agricultural biodiversity; Soil Health; Productivity; Income; Youth employment; Enabling environment; Productivity; Dietary diversity, Synergy; resilience; recycling; Culture, food, and tradition; Co-creation and sharing of knowledge; Circular and solidarity economy; Responsible governance",21,Secure land tenure; Added value; Exposure to pesticides; Dietary diversity; Women’s empowerment; Youth employment,Exposure to pesticides; Agricultural biodiversity; Soil Health,Productivity; Income; Added value; Youth employment; Agricultural biodiversity,Secure land tenure; Exposure to pesticides; Dietary diversity; Women’s empowerment; Youth employment,Secure land tenure; Enabling environment,Productivity Income; Added value; Dietary diversity; Agricultural biodiversity,Uses own framework,?,?,1; 2; 3; 5; 8; 10; 15,Yes,Yes,Performance-based,researcher/developer only,Agricultural advisors; researchers; development actors,Farm/household,Territory/community,Generalisable,Lesotho; Kenya; Benin; Madagascar; Ethiopia; China; Mali; Cambodia; Latin America; Asia; Pacific; Caribbean,Both,No,Farmers; agricultural advisors; policy makers; researchers; farmer organizations; development actors; NGOs,MP,Between cases,No,Yes,Yes,Expert consultation; literature; participatory,Quantitative (enumerator/farmer estimated); Quantitative (predicted); Qualitative (enumerator/farmer selected),Household/farm surveys; interview; expert opinion; focus group,Medium,Registration,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Radar,Scoring system; comparison between cases; comparison over time,99,Medium,Years,Yes,The tool allows for the analysis of interraction among indices of step 3 through a correlation matrix with values of 0 to 1 with 1 showing perfect correlation between any 2 indices.,Yes,Yes,Yes,No,NA,Once,Complete
13,Yes,NA,NA,Beatrice,Sustainable Development Goals,SDGs,NA,https://sdgs.un.org/goals,NA,United Nations Member States,2015,No,NA,NA,Yes,Yes,Yes,https://www.iisd.org/system/files/publications/sustainable-development-goals-iisd-prespectives.pdf. https://link.springer.com/article/10.1007/s10668-023-03225-w. https://link.springer.com/chapter/10.1007/978-3-031-08961-9_3. https://link.springer.com/chapter/10.1007/978-3-031-08961-9_12,"Sustainable Development Goals (SDGs) aim to transform our world and hauve been adopted globally to monitor Country progress in ending poverty and inequality, protecting the planet, and ensuring that all people enjoy health, justice and prosperity",No,NA,Governance oriented,Economic; social; environmental; institutional; human,"End poverty in all its forms; Zero hunger; Good health and wellbeing; Quality education; Gender equity; Reduced inequalities; Sustainable cities and communities; Clean water and sanitation; Affordable and clean energy; Climate action; Life below water; Life on land; Decent work and economic growth; Industry, innovation, and infrastructure; Partnerships for the goals; Peace, justice, and strong institutions; Responsible production and consumption",17,End poverty in all its forms; Zero hunger; Good health and wellbeing; Quality education; Gender equity; Reduced inequalities; Sustainable cities and communities,Clean water and sanitation; Affordable and clean energy; Climate action; Life below water; Life on land,Decent work and economic growth,"Industry, innovation, and infrastructure; Partnerships for the goals","Peace, justice, and strong institutions",Responsible production and consumption,Millennium Development Goals,Millennium Development Goals,"A sustainable food system is one that contributes to food security and nutrition for all in such a way that the economic, social, cultural, and environmental bases to generate food security and nutrition for future generations are safeguarded.",1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17,No,Yes,Both,researcher/developer only,Policy makers; High-level member states representatives,National,National,Adaptable; context-specific,Global,NA,No,Policy makers; researchers; development actors,PA,Change over time,Yes,No,No,Expert consultation,Quantitative (measured); Quantitative (enumerator/farmer estimated),NA,Medium,No restriction,No,No,No,No,No,No,Yes,No,NA,Stakeholder assessment; indicator ranges; comparison between cases; comparison over time,248,High,Years,No,Several research work have evaluated the interaction among SDG targets to determine how the impact of different projects/interventions create synergies or tradeoffs among SDG targets.,Yes,No,No,No,NA,Once,Complete
6,Yes,NA,NA,Levi,Response-Inducing Sustainability Evaluation,RISE,363933784; 363931825; 363932063; 363932154; 363933021; 363933186; 363933209; 363933684,https://saiplatform.org/uploads/Library/RISEIndicatorsE_RDN1_2009.pdf,"Haeni et al., 2000","Swiss College of Agriculture (SCA), University of Applied Sciences Bern now known as School of Agricultural, Forest and Food Sciences (HAFL)",2000,Yes,2021,NA,Yes,Yes,Yes,https://www.bfh.ch/dam/jcr:0540a777-ab97-4555-b7ca-bb71904ae97c/what-is-rise.pdf,"Since the year 2000, RISE has been used on more than 3500 farms in around 58 countries worldwide. HAFL and its partner institutions offer training courses, RISE analyses of single farms and farm groups, as well as RISE user licenses and technical support.",No,NA,Classical view,Economic; social; ecological,"Soil health; Animal health; Material use & environmental protection; Water; Energy; Climate; Biodiversity; Social justice (Working Conditions, Quality of life); Economic viability",9,"Social justice (Working Conditions, Quality of life)",Soil health; Material use & environmental protection; Water; Energy; Climate; Biodiversity,Economic viability,"Social justice (Working Conditions, Quality of life)",NA,Economic viability,Uses own framework,?,?,1; 3; 4; 6; 7; 8; 12; 13; 15; 17,No,No,Practice-based,consultation/feedback incorporated,Farmers; researchers; organizations; development actors,Farm/household,Farm/household; landscape; national,Generalisable,Global,Both,Yes,Farmers; researchers; development actors; NGOs,ST,Change over time; Between cases,No,Yes,Yes,Participatory,Quantitative (enumerator/farmer estimated),Interview,High,Partners only,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Radar,Scoring system,46,High,Years,No,NA,Yes,No,No,NA,"The RISE method was developed at the School of Agricultural, Forest and Food Sciences (HAFL, www.hafl.bfh.ch), a department of the Bern University of Applied Sciences. Note that RISE is neither a control method nor a certification protocol, but is designed to contribute to education and consultancy schemes that aim at a knowledge-based, intrinsically motivated, sustainable development of agricultural production at the farm level. Registration and the analysis software is available only for approved partners. Tool used by trained enumerators and the software is proprietary",Once; Multiple,Complete
7,Yes,NA,NA,Brian,Sustainability Monitoring and Assessment RouTine,SMART,363932708; 363933142; 363933285; 363933784,http://www.smart-farmtool.com/,"Baumgart et al., 2013",Research Institute of Organic Agriculture - FiBL,2013,Yes,2016,NA,Yes,Yes,Yes,https://www.fibl.org/en/themes/smart-en/smart-links-downloads-en.,Used in different countries but mostly involves the FIBL group,No,NA,Governance oriented,Social; environmental; economic: Institutional/Governance,Decent Livelihoods; Fair Trading Practices; Labour Rights; Equity; Human Health and Safety; Cultural Diversity; Atmosphere; Water; Land; Biodiversity; Materials and Energy; Animal Welfare; Investment; Vulnerability; Product Quality and Information; Local Economy; Corporate Ethics; Accountability; Participation; Rule of Law; Holistic Management; Environmental Integrity; Economic Resilience; Social Well-Being,24,Decent Livelihoods; Fair Trading Practices; Labour Rights; Equity; Human Health and Safety; Cultural Diversity,Atmosphere; Water; Land; Biodiversity; Materials and Energy; Animal Welfare,Investment; Vulnerability; Product Quality and Information; Local Economy,NA,Corporate Ethics; Accountability; Participation; Rule of Law; Holistic Management,NA,Sustainability Assessment of Food and Agriculture (SAFA) Guidelines,Sustainable food/agriculture,?,2; 3; 6; 8; 12; 13; 15,NA,No,Both,consultation/feedback incorporated,Multiple stakeholders,Farm/household; value chain; firm/business,Farm/household; value chain; firm/business,Localizable,Global,Both,Yes,Farmers; policy makers; researchers; farmer organizations; Farm advisors,MP,Between cases,Yes,Yes,Yes,Expert consultation; Literature review; Participatory engagement,Quantitative (measured); Quantitative (enumerator/farmer estimated),Household/farm survey; Firm/business,High,Registration,Yes,unknown,Yes,Yes,Yes,No,Unknown,Yes,Radar,Scoring system,unknown,Medium,Years,Yes,No,No,No,No,No,"Developed by more than 60 agricultural and sustainability experts and consists of a highly efficient database as well as a scientifically sound evaluation methodology including an extensive indicator pool. (The SMART-Farm Tool is usually used by auditors who have passed a formalized training procedure of 5–10 days, depending on the background of the trainee)",Multiple,Complete
8,Yes,NA,NA,Victor,Farm-level Agroecology Criteria Tool,FACT,NA,https://www.agroecology-pool.org/fact/,Edd Colbert,Biovision,2021,No,NA,NA,Yes,Yes,Yes,https://cgspace.cgiar.org/bitstream/handle/10568/126016/ATDT%20Digital%20Tool%20Review_Agroecology%20Brief_Dec2022.pdf?sequence=1&isAllowed=y,NA,Unknown,NA,Governance oriented,Economic; Social; Environmental; Governance,Co-creation of knowledge; social values & diets; fairness; connectivity; land & natural resource management; participation; Input reduction; recycling; Economic diversification; synergies; biodiversity; animal health; soil health,13,Social values and diets; Fairness; Connectivity; Co-creation of knowledge,Biodiversity; Animal health; Soil health; Recycling; Input reduction,Economic diversification,Synergy,Land & natural resource governance; Participation,NA,Agroecology Criteria Tool (ACT),Agroecology,?,1: 2; 3; 6; 12; 13; 15,Yes,Yes,Practice-based,Both,Farmers,Farm/household,Farm/household,Adaptable,Kenya,Smallholder farms,Yes,Farmers,MP,Between cases,No,Yes,Yes,Reseacher selected,Quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected),Household/farm survey,Medium,No restriction,No,No,Yes,Yes,Yes,No,No,Yes,Bar,Scoring system,71,Low,Unknown,No,NA,No,Yes,No,NA,F-ACT is available as an open-source excel file but is work in progress,Once,Complete
9,Yes,NA,NA,Mary,Global Farm Metric,GFM,NA,https://www.globalfarmmetric.org/,NA,Global Farm Metric Coalition,2021,Yes,2023,NA,Yes,No,Yes,https://www.globalfarmmetric.org/,"The past version was trialed on 40 UK farms. New version currently being tested and trialled in the US and Malawi, with discussions for similar applications underway with partners in Laos, Australia, Canada, and Europe.",No,NA,Governance oriented; classic productive view,Social; environmental; economic; governance; human; productivity,Economics; climate; community; nature; soil & water; resources; farmer & workers; crops & pasture; livestock; inputs; products; governance,12,community; farmer & workers; products,climate; nature; soil & water; inputs,economics; resources,farmer & workers,governance,crops & pasture; livestock,NA,Sustainable food/agriculture,"""a view of sustainability which requires farms to meet current needs for food, fuel, and fibre, for this production to be sustained to meet the needs of future generations, and for farming to maximise positive and minimise negative impacts on people and planet beyond the farm- gate.""",?,?,?,Performance-based,researcher/developer only,NA,Farm/household,Farm/household; landscape; national,Adaptable,UK; Malawi; USA,Both,Yes,Farmers; farmer advisers,MP,Change over time; Between cases,No,No,Yes,expert consultation; literature; participatory,NA,NA,NA,?,No,?,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,43,NA,years; decades,no,NA,yes,NA,NA,no,need access to old tool to complete this one ... new one not yet available,Once,Complete
